Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,weight,weight_Symptom_2,weight_Symptom_3,weight_Symptom_4,weight_Symptom_5,weight_Symptom_6,weight_Symptom_7,weight_Symptom_8,weight_Symptom_9,weight_Symptom_10,weight_Symptom_11,weight_Symptom_12,weight_Symptom_13,weight_Symptom_14,weight_Symptom_15,weight_Symptom_16,weight_Symptom_17,Total_Severity,Disease_Encoded
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,3.0,5.0,4.0,4,2,3,4,4,2,6,6,7,7,5,2,72.0,31
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,3.0,5.0,4.0,4,3,3,4,4,2,6,6,7,7,5,2,73.0,31
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,3.0,5.0,4.0,4,3,2,4,4,2,6,6,7,7,5,2,72.0,31
cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,7.0,5.0,4.0,4.0,5,4,4,4,4,2,6,6,7,7,5,2,79.0,7
cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,7,5.0,4.0,4.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,79.0,7
cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,4.0,4.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,75.0,7
cervical spondylosis,back_pain,weakness_in_limbs,dizziness,loss_of_balance,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,7.0,4.0,4.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,77.0,7
cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,loss_of_balance,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,7.0,5.0,4.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,78.0,7
cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,7.0,5.0,4.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,78.0,7
paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,altered_sensorium,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,3.0,4.0,2.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,73.0,33
paralysis (brain hemorrhage),headache,weakness_of_one_body_side,altered_sensorium,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,4.0,2.0,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,75.0,33
paralysis (brain hemorrhage),vomiting,weakness_of_one_body_side,altered_sensorium,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,4.0,2.0,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,77.0,33
paralysis (brain hemorrhage),vomiting,headache,altered_sensorium,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,3.0,2.0,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,76.0,33
paralysis (brain hemorrhage),vomiting,headache,weakness_of_one_body_side,high_fever,headache,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,3.0,4.0,7.0,3.0,5,4,4,4,4,2,6,6,7,7,5,2,78.0,33
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,5.0,4.0,3.0,7.0,3,4,4,4,4,2,6,6,7,7,5,2,74.0,29
jaundice,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,4.0,3.0,7.0,3.0,4,4,4,4,4,2,6,6,7,7,5,2,77.0,29
jaundice,itching,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,4.0,3.0,7.0,3.0,4,4,4,4,4,2,6,6,7,7,5,2,73.0,29
jaundice,itching,vomiting,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,5.0,3.0,7.0,3.0,4,4,4,4,4,2,6,6,7,7,5,2,74.0,29
jaundice,itching,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,5.0,4.0,7.0,3.0,4,4,4,4,4,2,6,6,7,7,5,2,75.0,29
jaundice,itching,vomiting,fatigue,weight_loss,yellowish_skin,dark_urine,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,5.0,4.0,3.0,3.0,4,4,4,4,4,2,6,6,7,7,5,2,71.0,29
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,dark_urine,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,5.0,4.0,3.0,7.0,4,4,4,4,4,2,6,6,7,7,5,2,75.0,29
jaundice,itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,5.0,4.0,3.0,7.0,3,4,4,4,4,2,6,6,7,7,5,2,74.0,29
malaria,chills,vomiting,high_fever,sweating,headache,nausea,muscle_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,7.0,3.0,3.0,5,2,4,4,4,2,6,6,7,7,5,2,75.0,30
malaria,chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,7.0,3.0,3.0,5,6,2,4,4,2,6,6,7,7,5,2,77.0,30
malaria,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,7.0,3.0,3.0,5.0,6,2,4,4,4,2,6,6,7,7,5,2,78.0,30
malaria,chills,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,7.0,3.0,3.0,5.0,6,2,4,4,4,2,6,6,7,7,5,2,76.0,30
malaria,chills,vomiting,sweating,headache,nausea,diarrhoea,muscle_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,3.0,3.0,5.0,6,2,4,4,4,2,6,6,7,7,5,2,74.0,30
malaria,chills,vomiting,high_fever,headache,nausea,diarrhoea,muscle_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,7.0,3.0,5.0,6,2,4,4,4,2,6,6,7,7,5,2,78.0,30
malaria,chills,vomiting,high_fever,sweating,nausea,diarrhoea,muscle_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,7.0,3.0,5.0,6,2,4,4,4,2,6,6,7,7,5,2,78.0,30
malaria,chills,vomiting,high_fever,sweating,headache,diarrhoea,muscle_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,7.0,3.0,3.0,6,2,4,4,4,2,6,6,7,7,5,2,76.0,30
chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,3.0,4.0,2.0,7.0,3,4,5,6,6,3,6,6,7,7,5,2,77.0,8
chicken pox,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,4.0,2.0,7.0,3.0,4,5,6,6,3,2,6,6,7,7,5,2,78.0,8
chicken pox,itching,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,4.0,2.0,7.0,3.0,4,5,6,6,3,2,6,6,7,7,5,2,76.0,8
chicken pox,itching,skin_rash,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,3.0,2.0,7.0,3.0,4,5,6,6,3,2,6,6,7,7,5,2,75.0,8
chicken pox,itching,skin_rash,fatigue,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,3.0,4.0,7.0,3.0,4,5,6,6,3,2,6,6,7,7,5,2,77.0,8
chicken pox,itching,skin_rash,fatigue,lethargy,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,3.0,4.0,2.0,3.0,4,5,6,6,3,2,6,6,7,7,5,2,72.0,8
chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,3.0,4.0,2.0,7.0,4,5,6,6,3,2,6,6,7,7,5,2,76.0,8
chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,3.0,4.0,2.0,7.0,3,5,6,6,3,2,6,6,7,7,5,2,75.0,8
chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,swelled_lymph_nodes,malaise,red_spots_over_body,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,3.0,4.0,2.0,7.0,3,4,6,6,3,2,6,6,7,7,5,2,74.0,8
chicken pox,itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,malaise,red_spots_over_body,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,3.0,4.0,2.0,7.0,3,4,5,6,3,2,6,6,7,7,5,2,73.0,8
dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,muscle_pain,red_spots_over_body,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,3.0,3.0,5.0,4.0,7,3,5,4,4,3,2,3,7,7,5,2,70.0,11
dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,red_spots_over_body,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,3.0,3.0,5.0,4.0,7,3,5,4,4,3,6,3,7,7,5,2,74.0,11
dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,3.0,3.0,5.0,4.0,7,3,5,4,4,3,6,2,7,7,5,2,73.0,11
dengue,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,chest_pain,blood_in_sputum,muscle_pain,3,3.0,3.0,5.0,4.0,7,3,5,4,4,3,6,2,3,7,5,2,69.0,11
dengue,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,3.0,5.0,4.0,7.0,3,5,4,4,3,6,2,3,7,7,5,2,73.0,11
dengue,skin_rash,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,3.0,5.0,4.0,7.0,3,5,4,4,3,6,2,3,7,7,5,2,73.0,11
dengue,skin_rash,chills,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,3.0,5.0,4.0,7.0,3,5,4,4,3,6,2,3,7,7,5,2,73.0,11
dengue,skin_rash,chills,joint_pain,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,3.0,3.0,4.0,7.0,3,5,4,4,3,6,2,3,7,7,5,2,71.0,11
dengue,skin_rash,chills,joint_pain,vomiting,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,3.0,3.0,5.0,7.0,3,5,4,4,3,6,2,3,7,7,5,2,72.0,11
dengue,skin_rash,chills,joint_pain,vomiting,fatigue,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,3.0,3.0,5.0,4.0,3,5,4,4,3,6,2,3,7,7,5,2,69.0,11
typhoid,chills,vomiting,fatigue,high_fever,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,4.0,7.0,5.0,4,4,6,5,4,2,6,6,7,7,5,2,82.0,38
typhoid,chills,vomiting,fatigue,high_fever,headache,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,4.0,7.0,3.0,4,4,6,5,4,2,6,6,7,7,5,2,80.0,38
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,4.0,7.0,3.0,5,4,6,5,4,2,6,6,7,7,5,2,81.0,38
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,diarrhoea,toxic_look_(typhos),belly_pain,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,4.0,7.0,3.0,5,4,6,5,4,2,6,6,7,7,5,2,81.0,38
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,toxic_look_(typhos),belly_pain,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,4.0,7.0,3.0,5,4,4,5,4,2,6,6,7,7,5,2,79.0,38
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,belly_pain,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,4.0,7.0,3.0,5,4,4,6,4,2,6,6,7,7,5,2,80.0,38
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,4.0,7.0,3.0,5,4,4,6,5,2,6,6,7,7,5,2,81.0,38
typhoid,chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,4.0,7.0,3.0,5,4,4,6,5,4,6,6,7,7,5,2,83.0,38
typhoid,chills,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,4.0,7.0,3.0,5.0,4,4,6,5,4,2,6,6,7,7,5,2,80.0,38
hepatitis a,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,3.0,4.0,5.0,4,4,6,5,4,2,6,6,7,7,5,2,78.0,19
hepatitis a,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,5,3.0,4.0,5.0,4.0,4,6,5,4,2,2,6,6,7,7,5,2,77.0,19
hepatitis a,joint_pain,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,3.0,4.0,5.0,4.0,4,6,5,4,2,2,6,6,7,7,5,2,75.0,19
hepatitis a,joint_pain,vomiting,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,4.0,5.0,4.0,4,6,5,4,2,2,6,6,7,7,5,2,77.0,19
hepatitis a,joint_pain,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,3.0,5.0,4.0,4,6,5,4,2,2,6,6,7,7,5,2,76.0,19
hepatitis a,joint_pain,vomiting,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,3.0,4.0,4.0,4,6,5,4,2,2,6,6,7,7,5,2,75.0,19
hepatitis a,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,3.0,4.0,5.0,4,6,5,4,2,2,6,6,7,7,5,2,76.0,19
hepatitis a,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,3.0,4.0,5.0,4,6,5,4,2,2,6,6,7,7,5,2,76.0,19
hepatitis a,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,mild_fever,yellowing_of_eyes,muscle_pain,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,3.0,4.0,5.0,4,4,5,4,2,2,6,6,7,7,5,2,74.0,19
hepatitis b,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,4.0,2.0,3.0,4.0,4,4,4,4,6,5,2,6,7,7,5,2,70.0,20
hepatitis b,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,2.0,3.0,4.0,4.0,4,4,4,6,5,2,6,6,7,7,5,2,75.0,20
hepatitis b,itching,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,2.0,3.0,4.0,4.0,4,4,4,6,5,2,6,6,7,7,5,2,72.0,20
hepatitis b,itching,fatigue,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,4.0,3.0,4.0,4.0,4,4,4,6,5,2,6,6,7,7,5,2,74.0,20
hepatitis b,itching,fatigue,lethargy,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,4.0,2.0,4.0,4.0,4,4,4,6,5,2,6,6,7,7,5,2,73.0,20
hepatitis b,itching,fatigue,lethargy,yellowish_skin,loss_of_appetite,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,4.0,2.0,3.0,4.0,4,4,4,6,5,2,6,6,7,7,5,2,72.0,20
hepatitis b,itching,fatigue,lethargy,yellowish_skin,dark_urine,abdominal_pain,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,4.0,2.0,3.0,4.0,4,4,4,6,5,2,6,6,7,7,5,2,72.0,20
hepatitis b,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,yellow_urine,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,4.0,2.0,3.0,4.0,4,4,4,6,5,2,6,6,7,7,5,2,72.0,20
hepatitis b,itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,1,4.0,2.0,3.0,4.0,4,4,4,6,5,2,6,6,7,7,5,2,72.0,20
hepatitis c,fatigue,yellowish_skin,nausea,loss_of_appetite,family_history,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,3.0,5.0,4.0,5.0,5,4,4,4,4,2,6,6,7,7,5,2,77.0,21
hepatitis c,fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,3.0,5.0,4.0,4.0,5,4,4,4,4,2,6,6,7,7,5,2,76.0,21
hepatitis c,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,3,5.0,4.0,4.0,5.0,5,4,4,4,4,2,6,6,7,7,5,2,77.0,21
hepatitis c,fatigue,nausea,loss_of_appetite,yellowing_of_eyes,family_history,nausea,abdominal_pain,abdominal_pain,yellowing_of_eyes,yellowing_of_eyes,irritability,malaise,abnormal_menstruation,chest_pain,chest_pain,blood_in_sputum,muscle_pain,4,5.0,4.0,4.0,5.0,5,4,4,4,4,2,6,6,7,7,5,2,78.0,21
